新增确诊,现有确诊,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊,累计治愈
10,113,4,8,0,0,0,3346
11,107,0,8,0,0,0,3342
3,96,2,8,0,0,0,3342
10,95,2,8,0,0,0,3340
4,87,1,8,0,0,0,3338
2,84,6,8,0,0,0,3337
6,88,3,8,0,0,0,3331
2,85,5,8,0,0,0,3328
6,88,4,8,0,0,0,3323
5,86,4,8,0,0,0,3319
9,85,5,8,0,0,0,3315
5,81,5,8,0,0,0,3310
10,81,6,8,0,0,0,3305
10,77,7,8,0,0,0,3299
8,74,1,8,0,0,0,3292
7,67,2,8,0,0,0,3291
6,62,0,8,0,0,0,3289
6,56,1,8,0,0,0,3289
4,51,1,8,0,0,0,3288
4,48,2,8,0,0,0,3287
5,46,5,8,0,0,0,3285
1,46,2,8,0,0,0,3280
0,47,5,8,0,0,0,3278
0,52,2,8,0,0,0,3273
3,54,1,8,0,0,0,3271
3,52,7,8,0,0,0,3270
3,56,3,8,0,0,0,3263
1,56,3,8,0,0,0,3260
1,58,6,8,0,0,0,3257
4,63,0,8,0,0,0,3251
3,59,2,8,0,0,0,3251
1,58,1,8,0,0,0,3249
4,58,4,8,0,0,0,3248
9,58,0,8,0,0,0,3244
4,49,3,8,0,0,0,3244
3,48,1,8,0,0,0,3241
3,46,3,8,0,0,0,3240
6,46,4,8,0,0,0,3237
4,44,1,8,0,0,0,3233
2,41,1,8,0,0,0,3232
5,40,1,8,0,0,0,3231
2,36,2,8,0,0,0,3230
3,36,1,8,0,0,0,3228
2,34,3,8,0,0,0,3227
3,35,0,8,0,0,0,3224
4,32,3,8,0,0,0,3224
1,31,5,8,0,0,0,3221
2,35,0,8,0,0,0,3216
4,33,5,8,0,0,0,3216
1,34,0,8,0,0,0,3211
1,33,3,8,0,0,0,3211
2,35,6,8,0,0,0,3208
1,39,8,8,0,0,0,3202
1,46,0,8,0,0,0,3194
4,45,1,8,0,0,0,3194
3,42,1,8,0,0,0,3193
3,40,2,8,0,0,0,3192
3,39,2,8,0,0,0,3190
1,38,2,8,0,0,0,3188
3,39,1,8,0,0,0,3186
4,37,1,8,0,0,0,3185
2,34,0,8,0,0,0,3184
0,32,4,8,0,0,0,3184
1,36,1,8,0,0,0,3180
2,36,1,8,0,0,0,3179
4,35,2,8,0,0,0,3178
0,33,1,8,0,0,0,3176
2,34,1,8,0,0,0,3175
4,33,2,8,0,0,0,3174
0,31,0,8,0,0,0,3172
1,31,1,8,0,0,0,3172
1,31,1,8,0,0,0,3171
1,31,1,8,0,0,0,3170
1,31,5,8,0,0,0,3169
3,35,4,8,0,0,0,3164
3,36,3,8,0,0,0,3160
2,36,0,8,0,0,0,3157
0,34,0,8,0,0,0,3157
0,34,2,8,0,0,0,3157
0,36,2,8,0,0,0,3155
2,38,1,8,0,0,0,3153
2,37,2,8,0,0,0,3152
0,37,4,8,0,0,0,3150
2,41,3,8,0,0,0,3146
0,42,6,8,0,0,0,3143
0,48,0,8,0,0,0,3137
2,48,6,8,0,0,0,3137
0,52,4,8,0,0,0,3131
0,56,3,8,0,0,0,3127
4,59,3,8,0,0,0,3124
4,58,4,8,0,0,0,3121
3,58,4,8,0,0,0,3117
3,59,4,8,0,0,0,3113
6,60,1,8,0,0,0,3109
3,55,1,8,0,0,0,3108
1,53,0,8,0,0,0,3107
3,52,2,8,0,0,0,3107
1,51,2,8,0,0,0,3105
4,52,3,8,0,0,0,3103
9,51,0,8,0,0,0,3100
1,42,2,8,0,0,0,3100
2,43,4,8,0,0,0,3098
2,45,3,8,0,0,0,3094
3,46,5,8,0,0,0,3091
0,48,4,8,0,0,0,3086
2,52,3,8,0,0,0,3082
3,53,9,8,0,0,0,3079
2,59,5,8,0,0,0,3070
3,62,6,8,0,0,0,3065
4,65,6,8,0,0,0,3059
8,67,6,8,0,0,0,3053
3,65,7,8,0,0,0,3047
6,69,4,8,0,0,0,3040
2,67,5,8,0,0,0,3036
5,70,7,8,0,0,0,3031
4,72,4,8,0,0,0,3024
4,72,4,8,0,0,0,3020
2,72,1,8,0,0,0,3016
7,71,9,8,0,0,0,3015
4,73,4,8,0,0,0,3006
4,73,3,8,0,0,0,3002
5,72,4,8,0,0,0,2999
9,71,5,8,0,0,0,2995
6,67,5,8,0,0,0,2990
4,66,10,8,0,0,0,2985
9,72,9,8,0,0,0,2975
3,72,11,8,0,0,0,2966
3,80,8,8,0,0,0,2955
17,85,10,8,0,0,0,2947
0,78,0,8,0,0,0,2937
3,78,2,8,0,0,0,2937
8,77,10,8,0,0,0,2935
5,79,9,8,0,0,0,2925
6,83,5,8,0,0,0,2916
4,82,4,8,0,0,0,2911
9,82,12,8,0,0,0,2907
10,85,13,8,0,0,0,2895
1,88,8,8,0,0,0,2882
9,95,3,8,0,0,0,2874
5,89,2,8,0,0,0,2871
13,86,10,8,0,0,0,2869
3,83,3,8,0,0,0,2859
9,83,6,8,0,0,0,2856
5,80,4,8,0,0,0,2850
2,79,4,8,0,0,0,2846
8,81,3,8,0,0,0,2842
8,76,7,8,0,0,0,2839
3,75,2,8,0,0,0,2832
3,74,4,8,0,0,0,2830
13,75,4,8,0,0,0,2826
2,66,6,8,0,0,0,2822
2,70,5,8,0,0,0,2816
6,73,2,8,0,0,0,2811
2,69,2,8,0,0,0,2809
2,69,5,8,0,0,0,2807
1,72,1,8,0,0,0,2802
9,72,3,8,0,0,0,2801
3,66,5,8,0,0,0,2798
3,68,5,8,0,0,0,2793
13,70,9,8,0,0,0,2788
8,66,8,8,0,0,0,2779
6,66,7,8,0,0,0,2771
5,67,5,8,0,0,0,2764
14,67,5,8,0,0,0,2759
7,58,3,8,0,0,0,2754
1,54,6,8,0,0,0,2751
4,59,4,8,0,0,0,2745
8,59,6,8,0,0,0,2741
4,57,3,8,0,0,0,2735
1,56,8,8,0,0,0,2732
4,63,3,8,0,0,0,2724
12,62,4,8,0,0,0,2721
2,54,9,8,0,0,0,2717
3,61,4,8,0,0,0,2708
3,62,5,8,0,0,0,2704
1,64,8,8,0,0,0,2699
1,71,5,8,0,0,0,2691
3,75,9,8,0,0,0,2686
2,81,20,8,0,0,0,2677
5,99,9,8,0,0,0,2657
3,103,23,8,0,0,0,2648
5,123,6,8,0,0,0,2625
3,124,9,8,0,0,0,2619
3,130,17,8,0,0,0,2610
8,144,10,8,0,0,0,2593
0,146,12,8,0,0,0,2583
1,158,6,8,0,0,0,2571
3,163,7,8,0,0,0,2565
5,167,6,8,0,0,0,2558
1,168,14,8,0,0,0,2552
4,181,12,8,0,0,0,2538
6,189,18,8,0,0,0,2526
8,201,16,8,0,0,0,2508
3,209,15,8,0,0,0,2492
7,221,16,8,0,0,0,2477
7,230,2,8,0,0,0,2461
12,225,9,8,0,0,0,2459
14,222,8,8,0,0,0,2450
9,216,11,8,0,0,0,2442
7,218,2,8,0,0,0,2431
15,213,4,8,0,0,0,2429
10,202,2,8,0,0,0,2425
7,194,4,8,0,0,0,2423
13,191,4,8,0,0,0,2419
12,182,8,8,0,0,0,2415
11,178,3,8,0,0,0,2407
9,170,3,8,0,0,0,2404
9,164,2,8,0,0,0,2401
22,157,1,8,0,0,0,2399
8,136,2,8,0,0,0,2398
9,130,8,8,0,0,0,2396
16,129,0,8,0,0,0,2388
11,113,0,8,0,0,0,2388
17,102,0,8,0,0,0,2388
13,85,3,8,0,0,0,2388
13,75,2,8,0,0,0,2385
23,64,2,8,0,0,0,2383
1,43,4,8,0,0,0,2381
3,46,2,8,0,0,0,2377
1,45,4,8,0,0,0,2375
14,48,5,8,0,0,0,2371
1,39,3,8,0,0,0,2366
0,41,4,8,0,0,0,2363
3,45,2,8,0,0,0,2359
3,44,2,8,0,0,0,2357
6,43,1,8,0,0,0,2355
1,38,0,8,0,0,0,2354
1,37,4,8,0,0,0,2354
1,40,4,8,0,0,0,2350
1,43,3,8,0,0,0,2346
4,45,12,8,0,0,0,2343
5,53,0,8,0,0,0,2331
1,48,7,8,0,0,0,2331
3,54,3,8,0,0,0,2324
2,54,5,8,0,0,0,2321
8,57,2,8,0,0,0,2316
1,51,0,8,0,0,0,2314
2,50,7,8,0,0,0,2314
5,55,1,8,0,0,0,2307
0,51,2,8,0,0,0,2306
5,53,7,8,0,0,0,2304
1,55,3,8,0,0,0,2297
1,57,2,8,0,0,0,2294
4,58,1,8,0,0,0,2292
4,55,4,8,0,0,0,2291
6,55,0,8,0,0,0,2287
7,49,4,8,0,0,0,2287
2,46,-4,8,0,0,0,2283
1,40,1,8,0,0,0,2287
3,40,1,8,0,0,0,2286
2,38,5,8,0,0,0,2285
