新增确诊,现有确诊,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊,累计确诊
5,257,17,8,0,0,3,6986
9,269,15,8,0,0,4,6981
11,275,17,8,0,2,8,6972
6,281,17,8,0,1,5,6961
9,292,12,8,0,4,8,6955
15,295,10,8,0,6,15,6946
24,290,12,8,0,5,20,6931
28,278,7,8,0,10,25,6907
32,257,8,8,0,11,29,6879
26,233,11,8,0,0,24,6847
24,218,11,8,0,0,22,6821
48,205,11,8,0,0,47,6797
26,168,24,8,0,0,22,6749
20,166,17,8,0,0,16,6723
22,163,16,8,0,0,19,6703
17,157,19,8,0,0,10,6681
9,159,21,8,0,0,5,6664
12,171,16,8,0,0,7,6655
1,175,31,8,0,0,0,6643
13,205,54,8,0,0,7,6642
8,246,64,8,0,0,3,6629
13,302,91,8,0,0,5,6621
12,380,66,8,0,0,2,6608
4,434,76,8,0,0,0,6596
6,506,84,8,0,0,4,6592
14,584,148,8,0,0,14,6586
15,718,87,8,0,0,2,6572
11,790,79,8,0,0,11,6557
10,858,60,8,0,0,4,6546
10,908,81,8,0,0,2,6536
11,979,67,8,0,0,4,6526
15,1035,83,8,0,0,4,6515
16,1103,36,8,0,0,8,6500
23,1123,69,8,0,0,15,6484
37,1169,129,8,0,0,25,6461
45,1261,152,8,0,0,38,6424
73,1368,97,8,0,0,51,6379
65,1392,380,8,0,0,47,6306
89,1707,156,8,0,0,74,6241
104,1774,90,8,0,0,83,6152
80,1760,54,8,0,0,59,6048
68,1734,35,8,0,0,48,5968
121,1701,26,8,0,0,79,5900
96,1606,48,8,0,0,62,5779
63,1558,27,8,0,0,33,5683
62,1522,0,8,0,0,11,5620
50,1460,56,8,0,0,17,5558
46,1466,33,8,0,0,7,5508
92,1453,17,8,0,0,45,5462
120,1378,21,8,0,0,69,5370
92,1279,16,8,0,0,20,5250
125,1203,14,8,0,0,46,5158
139,1092,26,8,0,0,22,5033
94,979,8,8,0,0,28,4894
115,893,8,8,0,0,32,4800
75,786,12,8,0,0,31,4685
93,723,9,8,0,0,40,4610
83,639,16,8,0,0,48,4517
89,572,16,8,0,0,30,4434
60,499,15,8,0,0,8,4345
52,454,11,8,0,0,8,4285
45,413,12,8,0,0,7,4233
25,380,7,8,0,0,3,4188
26,362,11,8,0,0,6,4163
40,347,10,8,0,0,8,4137
25,317,16,8,0,0,3,4097
25,308,12,8,0,0,4,4072
29,295,10,8,0,0,7,4047
27,276,17,8,0,0,3,4018
18,266,12,8,0,0,2,3991
28,260,7,8,0,0,28,3973
20,239,5,8,0,0,1,3945
24,224,10,8,0,0,0,3925
15,210,8,8,0,0,0,3901
9,203,6,8,0,0,0,3886
18,200,5,8,0,0,0,3877
18,187,9,8,0,0,0,3859
25,178,10,8,0,0,4,3841
8,163,11,8,0,0,1,3816
10,166,9,8,0,0,6,3808
13,165,10,8,0,0,5,3798
13,162,20,8,0,0,9,3785
11,169,23,8,0,0,6,3772
9,181,18,8,0,0,1,3761
7,190,21,8,0,0,0,3752
2,204,5,8,0,0,0,3745
6,207,5,8,0,0,0,3743
7,206,7,8,0,0,0,3737
3,206,11,8,0,0,3,3730
1,214,6,8,0,0,1,3727
2,219,7,8,0,0,2,3726
6,224,10,8,0,0,1,3724
8,228,10,8,0,0,3,3718
7,230,15,8,0,0,3,3710
14,238,8,8,0,0,4,3703
5,232,4,8,0,0,2,3689
9,231,13,8,0,0,7,3684
18,235,17,8,0,0,5,3675
17,234,7,8,0,0,9,3657
15,224,8,8,0,0,1,3640
13,217,3,8,0,0,8,3625
10,207,5,8,0,0,0,3612
18,202,6,8,0,0,0,3602
27,190,5,8,0,0,0,3584
18,168,4,8,0,0,0,3557
9,154,2,8,0,0,0,3539
9,147,8,8,0,0,0,3530
9,146,6,8,0,0,0,3521
9,143,0,8,0,0,0,3512
10,134,3,8,0,0,0,3503
7,127,4,8,0,0,0,3493
13,124,2,8,0,0,0,3486
6,113,6,8,0,0,0,3473
10,113,4,8,0,0,0,3467
11,107,0,8,0,0,0,3457
3,96,2,8,0,0,0,3446
10,95,2,8,0,0,0,3443
4,87,1,8,0,0,0,3433
2,84,6,8,0,0,0,3429
6,88,3,8,0,0,0,3427
2,85,5,8,0,0,0,3421
6,88,4,8,0,0,0,3419
5,86,4,8,0,0,0,3413
9,85,5,8,0,0,0,3408
5,81,5,8,0,0,0,3399
10,81,6,8,0,0,0,3394
10,77,7,8,0,0,0,3384
8,74,1,8,0,0,0,3374
7,67,2,8,0,0,0,3366
6,62,0,8,0,0,0,3359
6,56,1,8,0,0,0,3353
4,51,1,8,0,0,0,3347
4,48,2,8,0,0,0,3343
5,46,5,8,0,0,0,3339
1,46,2,8,0,0,0,3334
0,47,5,8,0,0,0,3333
0,52,2,8,0,0,0,3333
3,54,1,8,0,0,0,3333
3,52,7,8,0,0,0,3330
3,56,3,8,0,0,0,3327
1,56,3,8,0,0,0,3324
1,58,6,8,0,0,0,3323
4,63,0,8,0,0,0,3322
3,59,2,8,0,0,0,3318
1,58,1,8,0,0,0,3315
4,58,4,8,0,0,0,3314
9,58,0,8,0,0,0,3310
4,49,3,8,0,0,0,3301
3,48,1,8,0,0,0,3297
3,46,3,8,0,0,0,3294
6,46,4,8,0,0,0,3291
4,44,1,8,0,0,0,3285
2,41,1,8,0,0,0,3281
5,40,1,8,0,0,0,3279
2,36,2,8,0,0,0,3274
3,36,1,8,0,0,0,3272
2,34,3,8,0,0,0,3269
3,35,0,8,0,0,0,3267
4,32,3,8,0,0,0,3264
1,31,5,8,0,0,0,3260
2,35,0,8,0,0,0,3259
4,33,5,8,0,0,0,3257
1,34,0,8,0,0,0,3253
1,33,3,8,0,0,0,3252
2,35,6,8,0,0,0,3251
1,39,8,8,0,0,0,3249
1,46,0,8,0,0,0,3248
4,45,1,8,0,0,0,3247
3,42,1,8,0,0,0,3243
3,40,2,8,0,0,0,3240
3,39,2,8,0,0,0,3237
1,38,2,8,0,0,0,3234
3,39,1,8,0,0,0,3233
4,37,1,8,0,0,0,3230
2,34,0,8,0,0,0,3226
0,32,4,8,0,0,0,3224
1,36,1,8,0,0,0,3224
2,36,1,8,0,0,0,3223
4,35,2,8,0,0,0,3221
0,33,1,8,0,0,0,3217
2,34,1,8,0,0,0,3217
4,33,2,8,0,0,0,3215
0,31,0,8,0,0,0,3211
1,31,1,8,0,0,0,3211
1,31,1,8,0,0,0,3210
1,31,1,8,0,0,0,3209
1,31,5,8,0,0,0,3208
3,35,4,8,0,0,0,3207
3,36,3,8,0,0,0,3204
2,36,0,8,0,0,0,3201
0,34,0,8,0,0,0,3199
0,34,2,8,0,0,0,3199
0,36,2,8,0,0,0,3199
2,38,1,8,0,0,0,3199
2,37,2,8,0,0,0,3197
0,37,4,8,0,0,0,3195
2,41,3,8,0,0,0,3195
0,42,6,8,0,0,0,3193
0,48,0,8,0,0,0,3193
2,48,6,8,0,0,0,3193
0,52,4,8,0,0,0,3191
0,56,3,8,0,0,0,3191
4,59,3,8,0,0,0,3191
4,58,4,8,0,0,0,3187
3,58,4,8,0,0,0,3183
3,59,4,8,0,0,0,3180
6,60,1,8,0,0,0,3177
3,55,1,8,0,0,0,3171
1,53,0,8,0,0,0,3168
3,52,2,8,0,0,0,3167
1,51,2,8,0,0,0,3164
4,52,3,8,0,0,0,3163
9,51,0,8,0,0,0,3159
1,42,2,8,0,0,0,3150
2,43,4,8,0,0,0,3149
2,45,3,8,0,0,0,3147
3,46,5,8,0,0,0,3145
0,48,4,8,0,0,0,3142
2,52,3,8,0,0,0,3142
3,53,9,8,0,0,0,3140
2,59,5,8,0,0,0,3137
3,62,6,8,0,0,0,3135
4,65,6,8,0,0,0,3132
8,67,6,8,0,0,0,3128
3,65,7,8,0,0,0,3120
6,69,4,8,0,0,0,3117
2,67,5,8,0,0,0,3111
5,70,7,8,0,0,0,3109
4,72,4,8,0,0,0,3104
4,72,4,8,0,0,0,3100
2,72,1,8,0,0,0,3096
7,71,9,8,0,0,0,3094
4,73,4,8,0,0,0,3087
4,73,3,8,0,0,0,3083
5,72,4,8,0,0,0,3079
9,71,5,8,0,0,0,3074
6,67,5,8,0,0,0,3065
4,66,10,8,0,0,0,3059
9,72,9,8,0,0,0,3055
3,72,11,8,0,0,0,3046
3,80,8,8,0,0,0,3043
17,85,10,8,0,0,0,3040
0,78,0,8,0,0,0,3023
3,78,2,8,0,0,0,3023
8,77,10,8,0,0,0,3020
5,79,9,8,0,0,0,3012
6,83,5,8,0,0,0,3007
4,82,4,8,0,0,0,3001
9,82,12,8,0,0,0,2997
10,85,13,8,0,0,0,2988
1,88,8,8,0,0,0,2978
9,95,3,8,0,0,0,2977
5,89,2,8,0,0,0,2968
13,86,10,8,0,0,0,2963
3,83,3,8,0,0,0,2950
9,83,6,8,0,0,0,2947
5,80,4,8,0,0,0,2938
2,79,4,8,0,0,0,2933
8,81,3,8,0,0,0,2931
8,76,7,8,0,0,0,2923
3,75,2,8,0,0,0,2915
3,74,4,8,0,0,0,2912
13,75,4,8,0,0,0,2909
2,66,6,8,0,0,0,2896
2,70,5,8,0,0,0,2894
6,73,2,8,0,0,0,2892
2,69,2,8,0,0,0,2886
2,69,5,8,0,0,0,2884
1,72,1,8,0,0,0,2882
9,72,3,8,0,0,0,2881
3,66,5,8,0,0,0,2872
3,68,5,8,0,0,0,2869
13,70,9,8,0,0,0,2866
8,66,8,8,0,0,0,2853
6,66,7,8,0,0,0,2845
5,67,5,8,0,0,0,2839
14,67,5,8,0,0,0,2834
7,58,3,8,0,0,0,2820
1,54,6,8,0,0,0,2813
4,59,4,8,0,0,0,2812
8,59,6,8,0,0,0,2808
4,57,3,8,0,0,0,2800
1,56,8,8,0,0,0,2796
4,63,3,8,0,0,0,2795
12,62,4,8,0,0,0,2791
2,54,9,8,0,0,0,2779
3,61,4,8,0,0,0,2777
3,62,5,8,0,0,0,2774
1,64,8,8,0,0,0,2771
1,71,5,8,0,0,0,2770
3,75,9,8,0,0,0,2769
2,81,20,8,0,0,0,2766
5,99,9,8,0,0,0,2764
3,103,23,8,0,0,0,2759
5,123,6,8,0,0,0,2756
3,124,9,8,0,0,0,2751
3,130,17,8,0,0,0,2748
8,144,10,8,0,0,0,2745
0,146,12,8,0,0,0,2737
1,158,6,8,0,0,0,2737
3,163,7,8,0,0,0,2736
5,167,6,8,0,0,0,2733
1,168,14,8,0,0,0,2728
4,181,12,8,0,0,0,2727
6,189,18,8,0,0,0,2723
8,201,16,8,0,0,0,2717
3,209,15,8,0,0,0,2709
7,221,16,8,0,0,0,2706
7,230,2,8,0,0,0,2699
12,225,9,8,0,0,0,2692
14,222,8,8,0,0,0,2680
9,216,11,8,0,0,0,2666
7,218,2,8,0,0,0,2657
15,213,4,8,0,0,0,2650
10,202,2,8,0,0,0,2635
7,194,4,8,0,0,0,2625
13,191,4,8,0,0,0,2618
12,182,8,8,0,0,0,2605
11,178,3,8,0,0,0,2593
9,170,3,8,0,0,0,2582
9,164,2,8,0,0,0,2573
22,157,1,8,0,0,0,2564
8,136,2,8,0,0,0,2542
9,130,8,8,0,0,0,2534
16,129,0,8,0,0,0,2525
11,113,0,8,0,0,0,2509
17,102,0,8,0,0,0,2498
13,85,3,8,0,0,0,2481
13,75,2,8,0,0,0,2468
23,64,2,8,0,0,0,2455
1,43,4,8,0,0,0,2432
3,46,2,8,0,0,0,2431
1,45,4,8,0,0,0,2428
14,48,5,8,0,0,0,2427
1,39,3,8,0,0,0,2413
0,41,4,8,0,0,0,2412
3,45,2,8,0,0,0,2412
3,44,2,8,0,0,0,2409
6,43,1,8,0,0,0,2406
1,38,0,8,0,0,0,2400
1,37,4,8,0,0,0,2399
1,40,4,8,0,0,0,2398
1,43,3,8,0,0,0,2397
4,45,12,8,0,0,0,2396
5,53,0,8,0,0,0,2392
1,48,7,8,0,0,0,2387
3,54,3,8,0,0,0,2386
2,54,5,8,0,0,0,2383
8,57,2,8,0,0,0,2381
1,51,0,8,0,0,0,2373
2,50,7,8,0,0,0,2372
5,55,1,8,0,0,0,2370
0,51,2,8,0,0,0,2365
5,53,7,8,0,0,0,2365
1,55,3,8,0,0,0,2360
1,57,2,8,0,0,0,2359
4,58,1,8,0,0,0,2358
4,55,4,8,0,0,0,2354
6,55,0,8,0,0,0,2350
7,49,4,8,0,0,0,2344
2,46,-4,8,0,0,0,2337
1,40,1,8,0,0,0,2335
3,40,1,8,0,0,0,2334
2,38,5,8,0,0,0,2331
1,41,0,8,0,0,0,2329
0,40,5,8,0,0,0,2328
1,45,3,8,0,0,0,2328
5,47,0,8,0,0,0,2327
2,42,0,8,0,0,0,2322
1,40,4,8,0,0,0,2320
0,43,4,8,0,0,0,2319
2,47,2,8,0,0,0,2319
4,47,3,8,0,0,0,2317
3,46,2,8,0,0,0,2313
2,45,1,8,0,0,0,2310
4,44,2,8,0,0,0,2308
3,42,0,8,0,0,0,2304
2,39,1,8,0,0,0,2301
3,38,4,8,0,0,0,2299
1,39,0,8,0,0,0,2296
0,38,4,8,0,0,0,2295
4,42,3,8,0,0,0,2295
1,41,0,8,0,0,0,2291
1,40,0,8,0,0,0,2290
2,39,3,8,0,0,0,2289
0,40,0,8,0,0,0,2287
2,40,2,8,0,0,0,2287
3,40,1,8,0,0,0,2285
0,38,1,8,0,0,0,2282
3,39,2,8,0,0,0,2282
2,38,0,8,0,0,0,2279
2,36,1,8,0,0,0,2277
8,35,2,8,0,0,0,2275
1,29,1,8,0,0,0,2267
1,29,3,8,0,0,0,2266
2,31,4,8,0,0,0,2265
4,33,3,8,0,0,0,2263
2,32,1,8,0,0,0,2259
4,31,1,8,0,0,0,2257
1,28,1,8,0,0,0,2253
1,28,3,8,0,0,0,2252
2,30,1,8,0,0,0,2251
3,29,6,8,0,0,0,2249
1,32,3,8,0,0,0,2246
0,34,1,8,0,0,0,2245
0,35,3,8,0,0,0,2245
1,38,7,8,0,0,0,2245
1,44,2,8,0,0,0,2244
3,45,1,8,0,0,0,2243
2,43,4,8,0,0,0,2240
2,45,1,8,0,0,0,2238
1,44,2,8,0,0,0,2236
2,45,2,8,0,0,0,2235
4,45,2,8,0,0,0,2233
4,43,5,8,0,0,0,2229
3,44,6,8,0,0,0,2225
1,47,1,8,0,0,0,2222
3,47,4,8,0,0,0,2221
3,48,3,8,0,0,0,2218
3,48,1,8,0,0,0,2215
6,46,3,8,0,0,0,2212
1,43,0,8,0,0,0,2206
5,42,1,8,0,0,0,2205
2,38,8,8,0,0,0,2200
1,44,5,8,0,0,0,2198
1,48,1,8,0,0,0,2197
9,48,3,8,0,0,0,2196
3,42,3,8,0,0,0,2187
1,42,8,8,0,0,0,2184
3,49,5,8,0,0,0,2183
0,51,9,8,0,0,0,2180
3,60,0,8,0,0,0,2180
6,57,4,8,0,0,0,2177
8,55,3,8,0,0,0,2171
4,50,4,8,0,0,0,2163
2,50,3,8,0,0,0,2159
3,51,1,8,0,0,0,2157
2,49,0,8,0,0,0,2154
1,47,3,8,0,0,0,2152
0,49,3,8,0,0,0,2151
7,52,3,8,0,0,0,2151
9,48,5,8,0,0,0,2144
