,﻿省份,累计确诊,新增确诊,现有确诊,累计治愈,新增治愈,累计死亡,新增死亡,新增无症状,新增本土确诊
291,广东,5158,125,1203,3947,14,8,0,0,46
292,广东,5033,139,1092,3933,26,8,0,0,22
293,广东,4894,94,979,3907,8,8,0,0,28
294,广东,4800,115,893,3899,8,8,0,0,32
295,广东,4685,75,786,3891,12,8,0,0,31
296,广东,4610,93,723,3879,9,8,0,0,40
297,广东,4517,83,639,3870,16,8,0,0,48
298,广东,4434,89,572,3854,16,8,0,0,30
299,广东,4345,60,499,3838,15,8,0,0,8
300,广东,4285,52,454,3823,11,8,0,0,8
301,广东,4233,45,413,3812,12,8,0,0,7
302,广东,4188,25,380,3800,7,8,0,0,3
303,广东,4163,26,362,3793,11,8,0,0,6
304,广东,4137,40,347,3782,10,8,0,0,8
305,广东,4097,25,317,3772,16,8,0,0,3
306,广东,4072,25,308,3756,12,8,0,0,4
307,广东,4047,29,295,3744,10,8,0,0,7
308,广东,4018,27,276,3734,17,8,0,0,3
309,广东,3991,18,266,3717,12,8,0,0,2
310,广东,3973,28,260,3705,7,8,0,0,28
311,广东,3945,20,239,3698,5,8,0,0,1
312,广东,3925,24,224,3693,10,8,0,0,0
313,广东,3901,15,210,3683,8,8,0,0,0
314,广东,3886,9,203,3675,6,8,0,0,0
315,广东,3877,18,200,3669,5,8,0,0,0
316,广东,3859,18,187,3664,9,8,0,0,0
317,广东,3841,25,178,3655,10,8,0,0,4
318,广东,3816,8,163,3645,11,8,0,0,1
319,广东,3808,10,166,3634,9,8,0,0,6
320,广东,3798,13,165,3625,10,8,0,0,5
321,广东,3785,13,162,3615,20,8,0,0,9
322,广东,3772,11,169,3595,23,8,0,0,6
323,广东,3761,9,181,3572,18,8,0,0,1
324,广东,3752,7,190,3554,21,8,0,0,0
325,广东,3745,2,204,3533,5,8,0,0,0
326,广东,3743,6,207,3528,5,8,0,0,0
327,广东,3737,7,206,3523,7,8,0,0,0
328,广东,3730,3,206,3516,11,8,0,0,3
329,广东,3727,1,214,3505,6,8,0,0,1
330,广东,3726,2,219,3499,7,8,0,0,2
331,广东,3724,6,224,3492,10,8,0,0,1
332,广东,3718,8,228,3482,10,8,0,0,3
333,广东,3710,7,230,3472,15,8,0,0,3
334,广东,3703,14,238,3457,8,8,0,0,4
335,广东,3689,5,232,3449,4,8,0,0,2
336,广东,3684,9,231,3445,13,8,0,0,7
337,广东,3675,18,235,3432,17,8,0,0,5
338,广东,3657,17,234,3415,7,8,0,0,9
339,广东,3640,15,224,3408,8,8,0,0,1
340,广东,3625,13,217,3400,3,8,0,0,8
341,广东,3612,10,207,3397,5,8,0,0,0
342,广东,3602,18,202,3392,6,8,0,0,0
343,广东,3584,27,190,3386,5,8,0,0,0
344,广东,3557,18,168,3381,4,8,0,0,0
345,广东,3539,9,154,3377,2,8,0,0,0
346,广东,3530,9,147,3375,8,8,0,0,0
347,广东,3521,9,146,3367,6,8,0,0,0
348,广东,3512,9,143,3361,0,8,0,0,0
349,广东,3503,10,134,3361,3,8,0,0,0
350,广东,3493,7,127,3358,4,8,0,0,0
351,广东,3486,13,124,3354,2,8,0,0,0
352,广东,3473,6,113,3352,6,8,0,0,0
353,广东,3467,10,113,3346,4,8,0,0,0
354,广东,3457,11,107,3342,0,8,0,0,0
355,广东,3446,3,96,3342,2,8,0,0,0
356,广东,3443,10,95,3340,2,8,0,0,0
357,广东,3433,4,87,3338,1,8,0,0,0
358,广东,3429,2,84,3337,6,8,0,0,0
359,广东,3427,6,88,3331,3,8,0,0,0
360,广东,3421,2,85,3328,5,8,0,0,0
361,广东,3419,6,88,3323,4,8,0,0,0
362,广东,3413,5,86,3319,4,8,0,0,0
363,广东,3408,9,85,3315,5,8,0,0,0
364,广东,3399,5,81,3310,5,8,0,0,0
365,广东,3394,10,81,3305,6,8,0,0,0
366,广东,3384,10,77,3299,7,8,0,0,0
367,广东,3374,8,74,3292,1,8,0,0,0
368,广东,3366,7,67,3291,2,8,0,0,0
369,广东,3359,6,62,3289,0,8,0,0,0
370,广东,3353,6,56,3289,1,8,0,0,0
371,广东,3347,4,51,3288,1,8,0,0,0
372,广东,3343,4,48,3287,2,8,0,0,0
